"","age_group","variable","value","immunity_type","waning_group"
"1","0-17 years","beta_0",1,"immune-naive",NA
"2","18-49 years","beta_0",1,"immune-naive",NA
"3","50-64 years","beta_0",1,"immune-naive",NA
"4","65-74 years","beta_0",1,"immune-naive",NA
"5","75+ years","beta_0",1,"immune-naive",NA
"6","0-17 years","beta_V_1",0.463786458436835,"vaccine-only","0-3 months"
"7","18-49 years","beta_V_1",0.463786458436835,"vaccine-only","0-3 months"
"8","50-64 years","beta_V_1",0.437313371363711,"vaccine-only","0-3 months"
"9","65-74 years","beta_V_1",0.35420458693569,"vaccine-only","0-3 months"
"10","75+ years","beta_V_1",0.35420458693569,"vaccine-only","0-3 months"
"11","0-17 years","beta_V_2",0.756978396396452,"vaccine-only","3-6 months"
"12","18-49 years","beta_V_2",0.756978396396452,"vaccine-only","3-6 months"
"13","50-64 years","beta_V_2",0.713769814869904,"vaccine-only","3-6 months"
"14","65-74 years","beta_V_2",0.578122140776913,"vaccine-only","3-6 months"
"15","75+ years","beta_V_2",0.578122140776913,"vaccine-only","3-6 months"
"16","0-17 years","beta_V_3",0.97160539468282,"vaccine-only","6-12 months"
"17","18-49 years","beta_V_3",0.97160539468282,"vaccine-only","6-12 months"
"18","50-64 years","beta_V_3",0.943240062229221,"vaccine-only","6-12 months"
"19","65-74 years","beta_V_3",0.777560751432974,"vaccine-only","6-12 months"
"20","75+ years","beta_V_3",0.777560751432974,"vaccine-only","6-12 months"
"21","0-17 years","beta_V_4",1,"vaccine-only","12+ months"
"22","18-49 years","beta_V_4",1,"vaccine-only","12+ months"
"23","50-64 years","beta_V_4",1,"vaccine-only","12+ months"
"24","65-74 years","beta_V_4",0.980819242809707,"vaccine-only","12+ months"
"25","75+ years","beta_V_4",0.980819242809707,"vaccine-only","12+ months"
"26","0-17 years","beta_1",0.243154851431623,"hybrid/infection-only","0-3 months"
"27","18-49 years","beta_1",0.243154851431623,"hybrid/infection-only","0-3 months"
"28","50-64 years","beta_1",0.229275490710532,"hybrid/infection-only","0-3 months"
"29","65-74 years","beta_1",0.185703058263131,"hybrid/infection-only","0-3 months"
"30","75+ years","beta_1",0.185703058263131,"hybrid/infection-only","0-3 months"
"31","0-17 years","beta_2",0.396870081401473,"hybrid/infection-only","3-6 months"
"32","18-49 years","beta_2",0.396870081401473,"hybrid/infection-only","3-6 months"
"33","50-64 years","beta_2",0.374216603641319,"hybrid/infection-only","3-6 months"
"34","65-74 years","beta_2",0.303098981638523,"hybrid/infection-only","3-6 months"
"35","75+ years","beta_2",0.303098981638523,"hybrid/infection-only","3-6 months"
"36","0-17 years","beta_3",0.533780972825385,"hybrid/infection-only","6-12 months"
"37","18-49 years","beta_3",0.533780972825385,"hybrid/infection-only","6-12 months"
"38","50-64 years","beta_3",0.503312575323633,"hybrid/infection-only","6-12 months"
"39","65-74 years","beta_3",0.407661037864252,"hybrid/infection-only","6-12 months"
"40","75+ years","beta_3",0.407661037864252,"hybrid/infection-only","6-12 months"
"41","0-17 years","beta_4",0.717748528828625,"hybrid/infection-only","12+ months"
"42","18-49 years","beta_4",0.717748528828625,"hybrid/infection-only","12+ months"
"43","50-64 years","beta_4",0.676779201340434,"hybrid/infection-only","12+ months"
"44","65-74 years","beta_4",0.548161371581026,"hybrid/infection-only","12+ months"
"45","75+ years","beta_4",0.548161371581026,"hybrid/infection-only","12+ months"
