"","week","0-17 years","18-49 years","50-64 years","65-74 years","75+ years"
"1",2022-01-01,2.3,8.5,17.3,23.4,48.1
"2",2022-01-08,6.1,14.5,26.3,41.7,94
"3",2022-01-15,6,18.6,34.5,51.5,132.4
"4",2022-01-22,6.4,15.5,36.1,58.7,139.1
"5",2022-01-29,4.4,13.7,28.9,47.2,102
"6",2022-02-05,3,9.9,21.8,31.8,83.9
"7",2022-02-12,1.6,6.6,13.6,24.3,74.6
"8",2022-02-19,1.3,4,10.2,16.8,40.9
"9",2022-02-26,1.1,3,5.4,11,30.8
"10",2022-03-05,0.9,2,5.4,7.2,21.9
"11",2022-03-12,0.3,1.5,1.9,6.1,18.5
"12",2022-03-19,0.4,1.8,1.9,4.9,16.9
"13",2022-03-26,0.1,1.1,2.1,5.2,13.1
"14",2022-04-02,0.7,0.8,1,1.7,7.6
"15",2022-04-09,0,1.2,1.6,3.5,18.5
"16",2022-04-16,0.9,1.6,1.9,4.3,10.1
"17",2022-04-23,0.4,1.8,2.9,5.2,18.5
"18",2022-04-30,0.7,2.4,3.3,6.4,26.1
"19",2022-05-07,1.3,1.9,4,12.7,31.2
"20",2022-05-14,1.7,3.5,5.2,10.7,40.5
"21",2022-05-21,2.3,3.9,6.9,16.5,47.2
"22",2022-05-28,2.2,4.2,7.4,21.4,57.4
"23",2022-06-04,1.5,4.2,8.6,19.3,64.8
"24",2022-06-11,1.5,4.4,9.5,18.4,56.5
"25",2022-06-18,1.2,3.5,7.8,15.7,60.9
"26",2022-06-25,2.5,4.1,11.7,21.7,81
"27",2022-07-02,2.2,5.1,9.9,22,71.4
"28",2022-07-09,1.9,5.4,11.4,26.2,70.1
"29",2022-07-16,2.4,6.5,13.9,25.6,76.2
"30",2022-07-23,2.2,5.6,9.5,22.3,77.5
"31",2022-07-30,2.5,4.8,10.3,24.4,78
"32",2022-08-06,1.5,5.1,9,16.3,69.2
"33",2022-08-13,1.6,4.8,7.2,17.8,61.3
"34",2022-08-20,1.3,3.1,6.4,16.6,48.6
"35",2022-08-27,2.4,3.4,6.9,16.3,39.9
"36",2022-09-03,1,3,5.8,13.6,42.5
"37",2022-09-10,0.6,2.1,5.3,11.5,46.9
"38",2022-09-17,0.9,2.4,4.3,8.1,37.2
"39",2022-09-24,0.3,1.8,4.9,7.5,28.9
"40",2022-10-01,0.9,2.1,2.7,9.3,31.5
"41",2022-10-08,0.4,1.2,5.1,10.4,23.9
"42",2022-10-15,0.6,1.8,4.1,10.2,30
"43",2022-10-22,0.4,1.5,2.8,8.1,29.2
"44",2022-10-29,0.3,1.4,3.6,7.3,30.8
"45",2022-11-05,1,1.9,3.5,13.3,36.2
"46",2022-11-12,0.6,1.6,6.4,13.3,39.6
"47",2022-11-19,0.7,2.8,5.2,14.5,36.2
"48",2022-11-26,1,2.6,7.3,15.4,55.4
"49",2022-12-03,1.5,4,7.6,20,61.6
"50",2022-12-10,1.3,3.6,10.9,20,78.5
"51",2022-12-17,1,4.3,7.8,20.9,69.6
"52",2022-12-24,2.1,3.3,8.3,22.3,67.3
"53",2022-12-31,1.6,3.4,7.8,20.6,73.1
"54",2023-01-07,1.3,4.2,8.1,19.7,64.2
"55",2023-01-14,1.2,2.6,4.9,12.2,47.7
"56",2023-01-21,0.7,2.5,4.9,11.3,42.3
"57",2023-01-28,0.6,2.2,4.2,9.6,33.5
"58",2023-02-04,0.4,2.3,5.2,12.8,36.5
"59",2023-02-11,0.9,2.8,4.8,10.7,32.7
"60",2023-02-18,1,3,5.1,14.8,38.5
"61",2023-02-25,1.2,2.2,5.8,15.4,45.4
"62",2023-03-04,1.8,2.6,4.5,11.9,49.2
"63",2023-03-11,0.6,2.7,5.1,15.7,45
"64",2023-03-18,0.3,1.5,3.3,10.7,33.9
"65",2023-03-25,0.6,1.8,5.4,10.2,30.4
"66",2023-04-01,0.6,1.3,3.6,7,31.5
"67",2023-04-08,0.7,1.8,4.8,8.7,27.7
"68",2023-04-15,0.9,1.6,3.8,9,33.9
"69",2023-04-22,0.7,1.3,3,7.5,36.9
"70",2023-04-29,0.3,1.1,3,8.7,34.6
"71",2023-05-06,1,1,1.7,5.2,23.1
