"","age_group","severity_label","severity_coeff","immunity_type","waning_group"
"1","0-17 years","severity_0",1,"immune-naive",NA
"2","18-49 years","severity_0",1,"immune-naive",NA
"3","50-64 years","severity_0",1,"immune-naive",NA
"4","65-74 years","severity_0",1,"immune-naive",NA
"5","75+ years","severity_0",1,"immune-naive",NA
"6","0-17 years","severity_V_1",0.416397297082957,"vaccine-only","0-3 months"
"7","18-49 years","severity_V_1",0.416397297082957,"vaccine-only","0-3 months"
"8","50-64 years","severity_V_1",0.428303406812536,"vaccine-only","0-3 months"
"9","65-74 years","severity_V_1",0.4937583173285,"vaccine-only","0-3 months"
"10","75+ years","severity_V_1",0.4937583173285,"vaccine-only","0-3 months"
"11","0-17 years","severity_V_2",0.378239644744526,"vaccine-only","3-6 months"
"12","18-49 years","severity_V_2",0.378239644744526,"vaccine-only","3-6 months"
"13","50-64 years","severity_V_2",0.389054707056297,"vaccine-only","3-6 months"
"14","65-74 years","severity_V_2",0.448511486131908,"vaccine-only","3-6 months"
"15","75+ years","severity_V_2",0.448511486131908,"vaccine-only","3-6 months"
"16","0-17 years","severity_V_3",0.372669647948481,"vaccine-only","6-12 months"
"17","18-49 years","severity_V_3",0.372669647948481,"vaccine-only","6-12 months"
"18","50-64 years","severity_V_3",0.372314561419393,"vaccine-only","6-12 months"
"19","65-74 years","severity_V_3",0.421718107947648,"vaccine-only","6-12 months"
"20","75+ years","severity_V_3",0.421718107947648,"vaccine-only","6-12 months"
"21","0-17 years","severity_V_4",0.457809309450556,"vaccine-only","12+ months"
"22","18-49 years","severity_V_4",0.457809309450556,"vaccine-only","12+ months"
"23","50-64 years","severity_V_4",0.444020416034494,"vaccine-only","12+ months"
"24","65-74 years","severity_V_4",0.422705872669752,"vaccine-only","12+ months"
"25","75+ years","severity_V_4",0.422705872669752,"vaccine-only","12+ months"
"26","0-17 years","severity_1",0.152765600896379,"hybrid/infection-only","0-3 months"
"27","18-49 years","severity_1",0.152765600896379,"hybrid/infection-only","0-3 months"
"28","50-64 years","severity_1",0.157133650400828,"hybrid/infection-only","0-3 months"
"29","65-74 years","severity_1",0.181147395942982,"hybrid/infection-only","0-3 months"
"30","75+ years","severity_1",0.181147395942982,"hybrid/infection-only","0-3 months"
"31","0-17 years","severity_2",0.138766526624977,"hybrid/infection-only","3-6 months"
"32","18-49 years","severity_2",0.138766526624977,"hybrid/infection-only","3-6 months"
"33","50-64 years","severity_2",0.142734298520625,"hybrid/infection-only","3-6 months"
"34","65-74 years","severity_2",0.164547481858939,"hybrid/infection-only","3-6 months"
"35","75+ years","severity_2",0.164547481858939,"hybrid/infection-only","3-6 months"
"36","0-17 years","severity_3",0.130476830280198,"hybrid/infection-only","6-12 months"
"37","18-49 years","severity_3",0.130476830280198,"hybrid/infection-only","6-12 months"
"38","50-64 years","severity_3",0.134207573657656,"hybrid/infection-only","6-12 months"
"39","65-74 years","severity_3",0.154717671370167,"hybrid/infection-only","6-12 months"
"40","75+ years","severity_3",0.154717671370167,"hybrid/infection-only","6-12 months"
"41","0-17 years","severity_4",0.122685956921748,"hybrid/infection-only","12+ months"
"42","18-49 years","severity_4",0.122685956921748,"hybrid/infection-only","12+ months"
"43","50-64 years","severity_4",0.126193934700715,"hybrid/infection-only","12+ months"
"44","65-74 years","severity_4",0.145479358472999,"hybrid/infection-only","12+ months"
"45","75+ years","severity_4",0.145479358472999,"hybrid/infection-only","12+ months"
